f1,f2,f3,f4,target
1799.86168,1800,0.28516,1800,mechanical_anomaly
1799.86165,1800,0.28125,1800,mechanical_anomaly
1799.86166,1800,0.30078,1800,mechanical_anomaly
1799.86168,1800,0.28516,1800,mechanical_anomaly
1799.86165,1800,0.28125,1800,mechanical_anomaly
1799.86166,1800,0.30078,1800,mechanical_anomaly
1799.86168,1800,0.28516,1800,mechanical_anomaly
1799.86165,1800,0.27734,1800,mechanical_anomaly
1799.86166,1800,0.30078,1800,mechanical_anomaly
1799.86168,1800,0.28906,1800,mechanical_anomaly
1799.86165,1800,0.27734,1800,mechanical_anomaly
1799.86166,1800,0.29688,1800,mechanical_anomaly
1799.86168,1800,0.28906,1800,mechanical_anomaly
1799.86165,1800,0.27734,1800,mechanical_anomaly
1799.86166,1800,0.29688,1800,mechanical_anomaly
1799.86168,1800,0.28906,1800,mechanical_anomaly
1799.86165,1800,0.28125,1800,mechanical_anomaly
1799.86166,1800,0.29688,1800,mechanical_anomaly
1799.86168,1800,0.28906,1800,mechanical_anomaly
1799.86165,1800,0.27734,1800,mechanical_anomaly
1799.86165,1800,0.29688,1800,mechanical_anomaly
1799.86168,1800,0.28906,1800,mechanical_anomaly
1799.86165,1800,0.27734,1800,mechanical_anomaly
1799.86166,1800,0.29688,1800,mechanical_anomaly
1799.86168,1800,0.28906,1800,mechanical_anomaly
1799.86165,1800,0.27734,1800,mechanical_anomaly
1799.86166,1800,0.29688,1800,mechanical_anomaly
1799.86168,1800,0.28906,1800,mechanical_anomaly
1799.86165,1800,0.27734,1800,mechanical_anomaly
1799.86166,1800,0.29688,1800,mechanical_anomaly
1799.86168,1800,0.29297,1800,mechanical_anomaly
1799.86165,1800,0.27734,1800,mechanical_anomaly
1799.86166,1800,0.29688,1800,mechanical_anomaly
1799.86168,1800,0.29297,1800,mechanical_anomaly
1799.86165,1800,0.27734,1800,mechanical_anomaly
1799.86165,1800,0.29688,1800,mechanical_anomaly
1799.86168,1800,0.29297,1800,mechanical_anomaly
1799.86165,1800,0.27734,1800,mechanical_anomaly
1799.86165,1800,0.29688,1800,mechanical_anomaly
1799.86168,1800,0.29297,1800,mechanical_anomaly
1799.86165,1800,0.27734,1800,mechanical_anomaly
1799.86165,1800,0.29688,1800,mechanical_anomaly
1799.86168,1800,0.29297,1800,mechanical_anomaly
1799.86166,1800,0.27734,1800,mechanical_anomaly
1799.86165,1800,0.29688,1800,mechanical_anomaly
1799.86168,1800,0.29688,1800,mechanical_anomaly
1799.86166,1800,0.27344,1800,mechanical_anomaly
1799.86165,1800,0.29297,1800,mechanical_anomaly
1799.86168,1800,0.29688,1800,mechanical_anomaly
1799.86166,1800,0.27344,1800,mechanical_anomaly
1799.86165,1800,0.29297,1800,mechanical_anomaly
1799.86168,1800,0.29688,1800,mechanical_anomaly
1799.86166,1800,0.27734,1800,mechanical_anomaly
1799.86165,1800,0.29297,1800,mechanical_anomaly
1799.86168,1800,0.29688,1800,mechanical_anomaly
1799.86166,1800,0.27344,1800,mechanical_anomaly
1799.86165,1800,0.29297,1800,mechanical_anomaly
1799.86168,1800,0.29688,1800,mechanical_anomaly
1799.86166,1800,0.27734,1800,mechanical_anomaly
1799.86165,1800,0.29297,1800.002,mechanical_anomaly
1799.86168,1800,0.29688,1800.008,mechanical_anomaly
1799.86166,1800,0.27734,1800.018,mechanical_anomaly
1799.86166,1800,0.27734,1800.032,mechanical_anomaly
1799.86173,1800,0.23047,1800.05,mechanical_anomaly
1799.86183,1800,0.11719,1800.072,mechanical_anomaly
1799.86211,1800,0.01953,1800.098,mechanical_anomaly
1799.86263,1800,-0.14844,1800.128,mechanical_anomaly
1799.86375,1800.001,-0.28125,1800.16017,mechanical_anomaly
1799.8656,1800.003,-0.38672,1800.19267,mechanical_anomaly
1799.86835,1800.006,-0.45703,1800.2255,mechanical_anomaly
1799.87206,1800.009,-0.50781,1800.25867,mechanical_anomaly
1799.87668,1800.013,-0.56641,1800.292,mechanical_anomaly
1799.88221,1800.018,-0.61719,1800.32533,mechanical_anomaly
1799.88868,1800.024,-0.67188,1800.35867,mechanical_anomaly
1799.89612,1800.03,-0.69531,1800.392,mechanical_anomaly
1799.90454,1800.037,-0.6875,1800.42533,mechanical_anomaly
1799.91388,1800.046,-0.69141,1800.45867,mechanical_anomaly
1799.92411,1800.056,-0.69141,1800.492,mechanical_anomaly
1799.93521,1800.066,-0.69922,1800.52533,mechanical_anomaly
1799.94709,1800.078,-0.69531,1800.55867,mechanical_anomaly
1799.95966,1800.09,-0.72656,1800.592,mechanical_anomaly
1799.97286,1800.103,-0.77734,1800.62533,mechanical_anomaly
1799.98676,1800.116,-0.81641,1800.65867,mechanical_anomaly
1800.00127,1800.13,-0.86328,1800.692,mechanical_anomaly
1800.01645,1800.145,-0.89063,1800.72533,mechanical_anomaly
1800.03231,1800.161,-0.89844,1800.75867,mechanical_anomaly
1800.04891,1800.177,-0.86719,1800.792,mechanical_anomaly
1800.06609,1800.194,-0.87891,1800.82533,mechanical_anomaly
1800.08386,1800.211,-0.875,1800.85867,mechanical_anomaly
1800.10215,1800.228,-0.89063,1800.892,mechanical_anomaly
1800.12105,1800.247,-0.87109,1800.92533,mechanical_anomaly
1800.14055,1800.266,-0.83203,1800.95867,mechanical_anomaly
1800.1606,1800.285,-0.80078,1800.992,mechanical_anomaly
1800.18123,1800.305,-0.75,1801.02533,mechanical_anomaly
1800.20233,1800.326,-0.71875,1801.05867,mechanical_anomaly
1800.22388,1800.347,-0.69141,1801.092,mechanical_anomaly
1800.24588,1800.368,-0.65234,1801.12533,mechanical_anomaly
1800.2682,1800.39,-0.65625,1801.15867,mechanical_anomaly
1800.29086,1800.412,-0.65625,1801.192,mechanical_anomaly
1800.31379,1800.434,-0.69531,1801.22533,mechanical_anomaly
1800.33703,1800.457,-0.71875,1801.25867,mechanical_anomaly
1800.36056,1800.48,-0.75391,1801.292,mechanical_anomaly
1800.38446,1800.503,-0.76563,1801.32533,mechanical_anomaly
1800.4087,1800.526,-0.77344,1801.35867,mechanical_anomaly
1800.43334,1800.55,-0.75781,1801.392,mechanical_anomaly
1800.45834,1800.575,-0.72656,1801.42533,mechanical_anomaly
1800.48375,1800.599,-0.69141,1801.45867,mechanical_anomaly
1800.50952,1800.625,-0.64844,1801.492,mechanical_anomaly
1800.53563,1800.65,-0.59766,1801.52533,mechanical_anomaly
1800.56194,1800.676,-0.59375,1801.55867,mechanical_anomaly
1800.58851,1800.702,-0.57422,1801.592,mechanical_anomaly
1800.61527,1800.728,-0.57813,1801.62533,mechanical_anomaly
1800.64218,1800.754,-0.60156,1801.65867,mechanical_anomaly
1800.66917,1800.78,-0.66406,1801.692,mechanical_anomaly
1800.69633,1800.806,-0.70313,1801.72533,mechanical_anomaly
1800.72368,1800.833,-0.75,1801.75867,mechanical_anomaly
1800.75131,1800.859,-0.75391,1801.792,mechanical_anomaly
1800.77918,1800.887,-0.76172,1801.82533,mechanical_anomaly
1800.80737,1800.914,-0.72656,1801.85867,mechanical_anomaly
1800.83585,1800.942,-0.70313,1801.892,mechanical_anomaly
1800.86455,1800.969,-0.66016,1801.92533,mechanical_anomaly
1800.89349,1800.998,-0.63672,1801.95867,mechanical_anomaly
1800.92258,1801.026,-0.62109,1801.992,mechanical_anomaly
1800.95182,1801.055,-0.63672,1802.02533,mechanical_anomaly
1800.98111,1801.083,-0.66406,1802.05867,mechanical_anomaly
1801.01045,1801.112,-0.70703,1802.092,mechanical_anomaly
1801.03992,1801.141,-0.75,1802.12533,mechanical_anomaly
1801.06954,1801.169,-0.76172,1802.15867,mechanical_anomaly
1801.09935,1801.198,-0.76953,1802.192,mechanical_anomaly
1801.12935,1801.227,-0.76172,1802.22533,mechanical_anomaly
1801.15967,1801.257,-0.70313,1802.25867,mechanical_anomaly
1801.19021,1801.287,-0.64844,1802.292,mechanical_anomaly
